Name,PD Notation,Braid Notation,Jones
3_1,[[1;5;2;4];[3;1;4;6];[5;3;6;2]],[1;1;1],t+ t^3-t^4
4_1,[[4;2;5;1];[8;6;1;5];[6;3;7;4];[2;7;3;8]],[1;-2;1;-2],t^(-2)-t^(-1)+ 1-t+ t^2
5_1,[[2;8;3;7];[4;10;5;9];[6;2;7;1];[8;4;9;3];[10;6;1;5]],[1;1;1;1;1],t^2+ t^4-t^5+ t^6-t^7
5_2,[[1;5;2;4];[3;9;4;8];[5;1;6;10];[7;3;8;2];[9;7;10;6]],[1;1;1;2;-1;2],t-t^2+ 2*t^3-t^4+ t^5-t^6
6_1,[[1;7;2;6];[3;10;4;11];[5;3;6;2];[7;1;8;12];[9;4;10;5];[11;9;12;8]],[1;1;2;-1;-3;2;-3],t^(-2)-t^(-1)+ 2-2*t+ t^2-t^3+ t^4
6_2,[[1;8;2;9];[3;11;4;10];[5;1;6;12];[7;2;8;3];[9;7;10;6];[11;5;12;4]],[1;1;1;-2;1;-2],t^(-1)-1+ 2*t-2*t^2+ 2*t^3-2*t^4+ t^5
6_3,[[4;2;5;1];[8;4;9;3];[12;9;1;10];[10;5;11;6];[6;11;7;12];[2;8;3;7]],[1;1;-2;1;-2;-2],-t^(-3)+ 2*t^(-2)-2*t^(-1)+ 3-2*t+ 2*t^2-t^3
7_1,[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;1;8;14];[9;3;10;2];[11;5;12;4];[13;7;14;6]],[1;1;1;1;1;1;1],t^3+ t^5-t^6+ t^7-t^8+ t^9-t^10
7_2,[[2;10;3;9];[4;14;5;13];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;4;1;3]],[1;1;1;2;-1;2;3;-2;3],t-t^2+ 2*t^3-2*t^4+ 2*t^5-t^6+ t^7-t^8
7_3,[[1;9;2;8];[3;11;4;10];[5;1;6;14];[7;13;8;12];[9;3;10;2];[11;5;12;4];[13;7;14;6]],[1;1;1;1;1;2;-1;2],t^2-t^3+ 2*t^4-2*t^5+ 3*t^6-2*t^7+ t^8-t^9
7_4,[[2;10;3;9];[4;12;5;11];[6;14;7;13];[8;4;9;3];[10;2;11;1];[12;8;13;7];[14;6;1;5]],[1;1;2;-1;2;2;3;-2;3],t-2*t^2+ 3*t^3-2*t^4+ 3*t^5-2*t^6+ t^7-t^8
7_5,[[2;10;3;9];[4;2;5;1];[6;14;7;13];[8;12;9;11];[10;4;11;3];[12;6;13;5];[14;8;1;7]],[1;1;1;1;2;-1;2;2],t^2-t^3+ 3*t^4-3*t^5+ 3*t^6-3*t^7+ 2*t^8-t^9
7_6,[[1;13;2;12];[3;9;4;8];[5;1;6;14];[7;10;8;11];[9;3;10;2];[11;6;12;7];[13;5;14;4]],[1;1;-2;1;3;-2;3],t^(-1)-2+ 3*t-3*t^2+ 4*t^3-3*t^4+ 2*t^5-t^6
7_7,[[1;10;2;11];[3;13;4;12];[5;14;6;1];[7;5;8;4];[9;2;10;3];[11;9;12;8];[13;6;14;7]],[-1;2;-1;2;-3;2;-3],t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 4-3*t+ 3*t^2-t^3
8_1,[[1;9;2;8];[3;7;4;6];[5;12;6;13];[7;3;8;2];[9;1;10;16];[11;15;12;14];[13;4;14;5];[15;11;16;10]],[1;1;2;-1;2;3;-2;-4;3;-4],t^(-2)-t^(-1)+ 2-2*t+ 2*t^2-2*t^3+ t^4-t^5+ t^6
8_2,[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;5;14;4];[15;7;16;6]],[1;1;1;1;1;-2;1;-2],1-t+ 2*t^2-2*t^3+ 3*t^4-3*t^5+ 2*t^6-2*t^7+ t^8
8_3,[[6;2;7;1];[14;10;15;9];[10;5;11;6];[12;3;13;4];[4;11;5;12];[2;13;3;14];[16;8;1;7];[8;16;9;15]],[1;1;2;-1;-3;2;-3;-4;3;-4],t^(-4)-t^(-3)+ 2*t^(-2)-3*t^(-1)+ 3-3*t+ 2*t^2-t^3+ t^4
8_4,[[2;11;3;12];[4;9;5;10];[6;16;7;15];[8;14;9;13];[10;1;11;2];[12;3;13;4];[14;8;15;7];[16;6;1;5]],[-1;-1;-1;2;-1;2;3;-2;3],t^(-5)-2*t^(-4)+ 3*t^(-3)-3*t^(-2)+ 3*t^(-1)-3+ 2*t^1-t^2+ t^3
8_5,[[1;7;2;6];[3;9;4;8];[5;12;6;13];[7;3;8;2];[9;15;10;14];[11;1;12;16];[13;4;14;5];[15;11;16;10]],[1;1;1;-2;1;1;1;-2],1-t+ 3*t^2-3*t^3+ 3*t^4-4*t^5+ 3*t^6-2*t^7+ t^8
8_6,[[2;9;3;10];[4;14;5;13];[6;16;7;15];[8;12;9;11];[10;1;11;2];[12;8;13;7];[14;6;15;5];[16;4;1;3]],[1;1;1;1;2;-1;-3;2;-3],t^(-1)-1+ 3*t-4*t^2+ 4*t^3-4*t^4+ 3*t^5-2*t^6+ t^7
8_7,[[2;9;3;10];[4;14;5;13];[6;15;7;16];[8;1;9;2];[10;5;11;6];[12;4;13;3];[14;12;15;11];[16;7;1;8]],[-1;-1;-1;-1;2;-1;2;2],-t^(-6)+ 2*t^(-5)-3*t^(-4)+ 4*t^(-3)-4*t^(-2)+ 4*t^(-1)-2+ 2*t-t^2
8_8,[[1;7;2;6];[3;12;4;13];[5;9;6;8];[7;3;8;2];[9;16;10;1];[11;14;12;15];[13;4;14;5];[15;10;16;11]],[-1;-1;-1;-2;1;3;-2;3;3],-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 4*t^(-2)-4*t^(-1)+ 5-3*t+ 2*t^2-t^3
8_9,[[6;2;7;1];[14;8;15;7];[10;3;11;4];[2;13;3;14];[12;5;13;6];[4;11;5;12];[16;10;1;9];[8;16;9;15]],[1;1;1;-2;1;-2;-2;-2],t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 5-4*t+ 3*t^2-2*t^3+ t^4
8_10,[[2;14;3;13];[4;9;5;10];[6;11;7;12];[8;15;9;16];[10;5;11;6];[12;2;13;1];[14;7;15;8];[16;4;1;3]],[-1;-1;-1;2;-1;-1;2;2],-t^(-6)+ 2*t^(-5)-4*t^(-4)+ 5*t^(-3)-4*t^(-2)+ 5*t^(-1)-3+ 2*t-t^2
8_11,[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;7;14;6];[15;5;16;4]],[1;1;2;-1;2;2;-3;2;-3],t^(-1)-2+ 4*t-4*t^2+ 5*t^3-5*t^4+ 3*t^5-2*t^6+ t^7
8_13,[[1;9;2;8];[3;14;4;15];[5;12;6;13];[7;11;8;10];[9;3;10;2];[11;16;12;1];[13;4;14;5];[15;6;16;7]],[1;1;-2;1;-2;-2;-3;2;-3],-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 5*t^(-2)-5*t^(-1)+ 5-4*t+ 3*t^2-t^3
8_14,[[2;12;3;11];[4;8;5;7];[6;15;7;16];[8;14;9;13];[10;2;11;1];[12;10;13;9];[14;4;15;3];[16;5;1;6]],[1;1;1;2;-1;2;-3;2;-3],t^(-1)-2+ 4*t-5*t^2+ 6*t^3-5*t^4+ 4*t^5-3*t^6+ t^7
8_15,[[1;7;2;6];[3;15;4;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[13;5;14;4];[15;11;16;10]],[1;1;-2;1;3;2;2;2;3],t^2-2*t^3+ 5*t^4-5*t^5+ 6*t^6-6*t^7+ 4*t^8-3*t^9+ t^10
8_16,[[2;7;3;8];[4;10;5;9];[6;1;7;2];[8;14;9;13];[10;15;11;16];[12;6;13;5];[14;3;15;4];[16;11;1;12]],[-1;-1;2;-1;-1;2;-1;2],-t^(-6)+ 3*t^(-5)-5*t^(-4)+ 6*t^(-3)-6*t^(-2)+ 6*t^(-1)-4+ 3*t-t^2
8_17,[[6;2;7;1];[14;8;15;7];[8;3;9;4];[2;13;3;14];[12;5;13;6];[4;9;5;10];[16;12;1;11];[10;16;11;15]],[1;1;-2;1;-2;1;-2;-2],t^(-4)-3*t^(-3)+ 5*t^(-2)-6*t^(-1)+ 7-6*t+ 5*t^2-3*t^3+ t^4
8_18,[[6;2;7;1];[8;3;9;4];[16;11;1;12];[2;14;3;13];[4;15;5;16];[10;6;11;5];[12;7;13;8];[14;10;15;9]],[1;-2;1;-2;1;-2;1;-2],t^(-4)-4*t^(-3)+ 6*t^(-2)-7*t^(-1)+ 9-7*t+ 6*t^2-4*t^3+ t^4
8_19,[[2;14;3;13];[5;11;6;10];[7;15;8;14];[9;5;10;4];[11;7;12;6];[12;2;13;1];[15;9;16;8];[16;4;1;3]],[1;1;1;2;1;1;1;2],t^3+ t^5-t^8
8_20,[[1;7;2;6];[4;13;5;14];[5;9;6;8];[7;3;8;2];[10;15;11;16];[12;9;13;10];[14;3;15;4];[16;11;1;12]],[1;1;1;-2;-1;-1;-1;-2],-t^(-5)+ t^(-4)-t^(-3)+ 2*t^(-2)-t^(-1)+ 2-t
8_21,[[1;7;2;6];[4;13;5;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[14;3;15;4];[15;11;16;10]],[1;1;1;2;-1;-1;2;2],2*t-2*t^2+ 3*t^3-3*t^4+ 2*t^5-2*t^6+ t^7
